hindi_translation, hindi_gender, hindi_phoneticLast, hindi_phoneticLast2, hindi_phoneticFirst, hindi_phoneticFirst2, hindi_translationLast, hindi_translationLast2, hindi_translationFirst, hindi_translationFirst2, hindi_phoneticLength, hindi_translationLength, french_word, french_translation, french_gender, french_phoneticLast, french_phoneticLast2, french_phoneticFirst, french_phoneticFirst2, french_translationLast, french_translationLast2, french_translationFirst, french_translationFirst2, french_phoneticLength, french_translationLength
इतिहास,  masculine, ə, sə, i, it, स, ास, इ, इत, 9, 6, history, histoire,  feminine, e, re, h, hi, e, re, h, hi, 8, 8
ढंग,  masculine, ə, gə, ɖ, ɖʰ, ग, ंग, ढ, ढं, 5, 3, way, façon,  feminine, n, on, f, fa, n, on, f, fa, 5, 5
कला,  feminine, ː, ɑː, k, kə, ा, ला, क, कल, 5, 3, art, art,  masculine, t, rt, a, ar, t, rt, a, ar, 3, 3
जगत,  masculine, ə, ̪ə, ɟ, ɟə, त, गत, ज, जग, 7, 3, world, monde,  masculine, e, de, m, mo, e, de, m, mo, 5, 5
जानकारी,  feminine, ː, iː, ɟ, ɟɑ, ी, री, ज, जा, 11, 7, information, information,  feminine, n, on, i, in, n, on, i, in, 11, 11
नक़्शा,  masculine, ː, ɑː, n, nə, ा, शा, न, नक, 9, 6, map, carte,  feminine, e, te, c, ca, e, te, c, ca, 5, 5
सरकार,  feminine, ə, rə, s, sə, र, ार, स, सर, 9, 5, government, gouvernement,  masculine, t, nt, g, go, t, nt, g, go, 12, 12
स्वास्थ्य,  masculine, ə, jə, s, sv, य, ्य, स, स्, 10, 9, health, santé,  feminine, é, té, s, sa, é, té, s, sa, 5, 5
व्यवस्था,  feminine, ː, ɑː, v, vj, ा, था, व, व्, 11, 8, system, système,  masculine, e, me, s, sy, e, me, s, sy, 7, 7
कंप्यूटर,  masculine, ə, rə, k, kⁿ, र, टर, क, कं, 10, 8, computer, ordinateur,  masculine, r, ur, o, or, r, ur, o, or, 10, 10
मांस,  masculine, ə, sə, m, mɑ, स, ंस, म, मा, 6, 4, meat, viande,  feminine, e, de, v, vi, e, de, v, vi, 6, 6
वर्ष,  masculine, ə, ʂə, v, və, ष, ्ष, व, वर, 5, 4, year, année,  feminine, e, ée, a, an, e, ée, a, an, 5, 5
संगीत,  masculine, ə, ̪ə, s, sⁿ, त, ीत, स, सं, 8, 5, music, musique,  feminine, e, ue, m, mu, e, ue, m, mu, 7, 7
व्यक्ति,  masculine, i, ̪i, v, vj, ि, ति, व, व्, 7, 7, person, personne,  feminine, e, ne, p, pe, e, ne, p, pe, 8, 8
पाठन,  masculine, ə, nə, p, pɑ, न, ठन, प, पा, 8, 4, reading, lecture,  feminine, e, re, l, le, e, re, l, le, 7, 7
तरीक़ा,  masculine, ा, ़ा, t, t̪, ा, ़ा, त, तर, 10, 6, method, méthode,  feminine, e, de, m, mé, e, de, m, mé, 7, 7
डाटा,  feminine, ː, ɑː, ɖ, ɖɑ, ा, टा, ड, डा, 6, 4, data, données,  masculine, s, es, d, do, s, es, d, do, 7, 7
आहार,  masculine, ə, rə, ɑ, ɑː, र, ार, आ, आह, 7, 4, food, nourriture,  feminine, e, re, n, no, e, re, n, no, 10, 10
सिद्धांत,  masculine, ə, ̪ə, s, si, त, ंत, स, सि, 13, 8, theory, théorie,  feminine, e, ie, t, th, e, ie, t, th, 7, 7
क़ानून,  masculine, ə, nə, k, kə, न, ून, क, क़, 9, 6, law, loi,  feminine, i, oi, l, lo, i, oi, l, lo, 3, 3
पक्षी,  masculine, ː, iː, p, pə, ी, षी, प, पक, 6, 5, bird, oiseau,  masculine, u, au, o, oi, u, au, o, oi, 6, 6
साहित्य,  masculine, ə, jə, s, sɑ, य, ्य, स, सा, 9, 7, literature, littérature,  feminine, e, re, l, li, e, re, l, li, 11, 11
समस्या,  feminine, ː, ɑː, s, sə, ा, या, स, सम, 8, 6, problem, problème,  masculine, e, me, p, pr, e, me, p, pr, 8, 8
सॉफ्टवेयर,  masculine, ə, rə, s, sə, र, यर, स, सॉ, 14, 9, software, logiciel,  masculine, l, el, l, lo, l, el, l, lo, 8, 8
नियंत्रण,  masculine, ə, ɳə, n, ni, ण, रण, न, नि, 10, 8, control, contrôle,  masculine, e, le, c, co, e, le, c, co, 8, 8
ज्ञान,  masculine, ə, nə, ɟ, ɟɲ, न, ान, ज, ज्, 6, 5, knowledge, connaissance,  feminine, e, ce, c, co, e, ce, c, co, 12, 12
शक्ति,  feminine, i, ̪i, ɕ, ɕə, ि, ति, श, शक, 6, 5, power, pouvoir,  masculine, r, ir, p, po, r, ir, p, po, 7, 7
अहलियत,  feminine, ə, ̪ə, ə, əɦ, त, यत, अ, अह, 10, 6, ability, capacité,  feminine, é, té, c, ca, é, té, c, ca, 8, 8
अर्थशास्त्र,  masculine, ə, rə, ə, ər, र, ्र, अ, अर, 14, 11, economics, économie,  feminine, e, ie, é, éc, e, ie, é, éc, 8, 8
प्यार,  masculine, ə, rə, p, pj, र, ार, प, प्, 6, 5, love, amour,  masculine, ʁ, uʁ, a, am, r, ur, a, am, 5, 5
इंटरनेट,  masculine, ə, ʈə, i, iⁿ, ट, ेट, इ, इं, 11, 7, internet, Internet,  masculine, t, ɛt, ɛ, ɛ̃, t, et, I, In, 9, 8
दूरदर्शन,  masculine, ə, nə, d, d̪, न, शन, द, दू, 14, 8, television, télévision,  feminine, ̃, ɔ̃, t, te, n, on, t, té, 11, 10
विज्ञान,  masculine, ə, nə, v, vi, न, ान, व, वि, 8, 7, science, science,  feminine, s, ̃s, s, sj, e, ce, s, sc, 6, 7
पुस्तकालय,  masculine, ə, jə, p, pu, य, लय, प, पु, 13, 9, library, bibliothèque,  feminine, k, ɛk, b, bi, e, ue, b, bi, 10, 12
प्रकृति,  feminine, i, ̪i, p, pr, ि, ति, प, प्, 9, 7, nature, nature,  feminine, ʁ, yʁ, n, na, e, re, n, na, 6, 6
तथ्य,  masculine, ə, jə, t, t̪, य, ्य, त, तथ, 8, 4, fact, fait,  masculine, ɛ, ˈɛ, f, fˈ, t, it, f, fa, 3, 4
उत्पादन,  masculine, ə, nə, u, ut, न, दन, उ, उत, 11, 7, product, produit,  masculine, i, ˈi, p, pʁ, t, it, p, pr, 7, 7
विचार,  masculine, ə, rə, v, vi, र, ार, व, वि, 7, 5, idea, idée,  feminine, e, ˈe, i, id, e, ée, i, id, 4, 4
तापमान,  masculine, ə, nə, t, t̪, न, ान, त, ता, 11, 6, temperature, température,  feminine, ʁ, yʁ, t, tɑ, e, re, t, te, 11, 11
निवेश,  masculine, ə, ɕə, n, ni, श, ेश, न, नि, 7, 5, investment, investissement,  masculine, ̃, ɑ̃, ɛ, ɛ̃, t, nt, i, in, 12, 14
क्षेत्रफल,  masculine, ə, lə, k, kʂ, ल, फल, क, क्, 13, 9, area, domaine,  masculine, n, ɛn, d, do, e, ne, d, do, 6, 7
समाज,  masculine, ə, ɟə, s, sə, ज, ाज, स, सम, 7, 4, society, société,  feminine, e, ˈe, s, so, é, té, s, so, 8, 7
कार्रवाई,  feminine, ː, iː, k, kɑ, ई, ाई, क, का, 11, 8, activity, activité,  feminine, e, ˈe, a, ak, é, té, a, ac, 9, 8
कहानी,  feminine, ː, iː, k, kə, ी, नी, क, कह, 8, 5, story, récit,  masculine, i, ˈi, ʁ, ʁe, t, it, r, ré, 5, 5
उद्योग,  masculine, ə, gə, u, ud, ग, ोग, उ, उद, 8, 6, industry, industrie,  feminine, i, ˈi, ɛ, ɛ̃, e, ie, i, in, 9, 9
मीडिया,  masculine, ː, ɑː, m, mi, ा, या, म, मी, 8, 6, media, médias,  feminine, a, ˈa, m, me, s, as, m, mé, 6, 6