word, translation, gender, phoneticLast, phoneticLast2, phoneticFirst, phoneticFirst2, translationLast, translationLast2, translationFirst, translationFirst2, phoneticLength, translationLength
people, personnes,  masculine, personnes, s, es, p, pe, s, es, p, pe, 9, 9
history, histoire,  feminine, histoire, e, re, h, hi, e, re, h, hi, 8, 8
way, façon,  feminine, façon, n, on, f, fa, n, on, f, fa, 5, 5
art, art,  masculine, art, t, rt, a, ar, t, rt, a, ar, 3, 3
world, monde,  masculine, monde, e, de, m, mo, e, de, m, mo, 5, 5
information, information,  feminine, information, n, on, i, in, n, on, i, in, 11, 11
map, carte,  feminine, carte, e, te, c, ca, e, te, c, ca, 5, 5
family, famille,  feminine, famille, e, le, f, fa, e, le, f, fa, 7, 7
government, gouvernement,  masculine, gouvernement, t, nt, g, go, t, nt, g, go, 12, 12
health, santé,  feminine, santé, é, té, s, sa, é, té, s, sa, 5, 5
system, système,  masculine, système, e, me, s, sy, e, me, s, sy, 7, 7
computer, ordinateur,  masculine, ordinateur, r, ur, o, or, r, ur, o, or, 10, 10
meat, viande,  feminine, viande, e, de, v, vi, e, de, v, vi, 6, 6
year, année,  feminine, année, e, ée, a, an, e, ée, a, an, 5, 5
thanks, grâce à,  feminine, grâce à, à,  à, g, gr, à,  à, g, gr, 7, 7
music, musique,  feminine, musique, e, ue, m, mu, e, ue, m, mu, 7, 7
person, personne,  feminine, personne, e, ne, p, pe, e, ne, p, pe, 8, 8
reading, lecture,  feminine, lecture, e, re, l, le, e, re, l, le, 7, 7
method, méthode,  feminine, méthode, e, de, m, mé, e, de, m, mé, 7, 7
data, données,  masculine, données, s, es, d, do, s, es, d, do, 7, 7
food, nourriture,  feminine, nourriture, e, re, n, no, e, re, n, no, 10, 10
understanding, compréhension,  feminine, compréhension, n, on, c, co, n, on, c, co, 13, 13
theory, théorie,  feminine, théorie, e, ie, t, th, e, ie, t, th, 7, 7
law, loi,  feminine, loi, i, oi, l, lo, i, oi, l, lo, 3, 3
bird, oiseau,  masculine, oiseau, u, au, o, oi, u, au, o, oi, 6, 6
literature, littérature,  feminine, littérature, e, re, l, li, e, re, l, li, 11, 11
problem, problème,  masculine, problème, e, me, p, pr, e, me, p, pr, 8, 8
software, logiciel,  masculine, logiciel, l, el, l, lo, l, el, l, lo, 8, 8
control, contrôle,  masculine, contrôle, e, le, c, co, e, le, c, co, 8, 8
knowledge, connaissance,  feminine, connaissance, e, ce, c, co, e, ce, c, co, 12, 12
power, pouvoir,  masculine, pouvoir, r, ir, p, po, r, ir, p, po, 7, 7
ability, capacité,  feminine, capacité, é, té, c, ca, é, té, c, ca, 8, 8
economics, économie,  feminine, économie, e, ie, é, éc, e, ie, é, éc, 8, 8
love, amour,  masculine, amˈuʁ, ʁ, uʁ, a, am, r, ur, a, am, 5, 5
internet, Internet,  masculine, ɛ̃tɛʁnˈɛt, t, ɛt, ɛ, ɛ̃, t, et, I, In, 9, 8
television, télévision,  feminine, televizjˈɔ̃, ̃, ɔ̃, t, te, n, on, t, té, 11, 10
science, science,  feminine, sjˈɑ̃s, s, ̃s, s, sj, e, ce, s, sc, 6, 7
library, bibliothèque,  feminine, bibliotˈɛk, k, ɛk, b, bi, e, ue, b, bi, 10, 12
nature, nature,  feminine, natˈyʁ, ʁ, yʁ, n, na, e, re, n, na, 6, 6
fact, fait,  masculine, fˈɛ, ɛ, ˈɛ, f, fˈ, t, it, f, fa, 3, 4
product, produit,  masculine, pʁodyˈi, i, ˈi, p, pʁ, t, it, p, pr, 7, 7
idea, idée,  feminine, idˈe, e, ˈe, i, id, e, ée, i, id, 4, 4
temperature, température,  feminine, tɑ̃peʁatˈyʁ, ʁ, yʁ, t, tɑ, e, re, t, te, 11, 11
investment, investissement,  masculine, ɛ̃vɛstismˈɑ̃, ̃, ɑ̃, ɛ, ɛ̃, t, nt, i, in, 12, 14
area, domaine,  masculine, domˈɛn, n, ɛn, d, do, e, ne, d, do, 6, 7
society, société,  feminine, sosjetˈe, e, ˈe, s, so, é, té, s, so, 8, 7
activity, activité,  feminine, aktivitˈe, e, ˈe, a, ak, é, té, a, ac, 9, 8
story, récit,  masculine, ʁesˈi, i, ˈi, ʁ, ʁe, t, it, r, ré, 5, 5
industry, industrie,  feminine, ɛ̃dystʁˈi, i, ˈi, ɛ, ɛ̃, e, ie, i, in, 9, 9
media, médias,  feminine, medjˈa, a, ˈa, m, me, s, as, m, mé, 6, 6